Legend:,,,,Player,Age,MP,Start,Min,Gls,A,PK,PKatt,CrdY,CrdR,G*,A*,G*+A*,G*-PK*,G*+A*-PK*,xG,NPxG,xA,xG*,xA*,xG*+xA*,NPxG*,NPxG*+xA*,Total Points,Conceded,CleanSheets,CleanSheets*,PenMiss,PenMiss*,YC*,RC*,,
,,,112,Mousa Dembélé,31,10,7,515,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,14,6,1,0.17,0,0.000,0.175,0.000,,
,,,113,Leander Dendoncker,23,19,17,1467,2,0,0,0,1,0,0.12,0,0.12,0.12,0.12,2.5,2.5,1.2,0.16,0.07,0.23,0.16,0.23,48,21,3,0.18,0,0.000,0.061,0.000,,
,,,114,Laurent Depoitre,29,23,10,1068,0,1,0,0,1,0,0,0.08,0.08,0,0.08,3.5,3.5,0.6,0.3,0.05,0.34,0.3,0.34,34,23,0,0.00,0,0.000,0.084,0.000,,
,,,115,Gerard Deulofeu,24,30,26,2066,10,5,0,0,3,0,0.44,0.22,0.65,0.44,0.65,8.3,8.3,4.9,0.36,0.21,0.58,0.36,0.58,133,29,9,0.39,0,0.000,0.131,0.000,,
,,,116,Fousseni Diabaté,22,1,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.24,0.24,0,0.24,1,1,0,0.00,0,0.000,0.000,0.000,,
,,,117,Adama Diakhaby,22,12,6,552,0,0,0,0,1,0,0,0,0,0,0,0.8,0.8,0.4,0.14,0.07,0.21,0.14,0.21,19,16,1,0.16,0,0.000,0.163,0.000,,
,,,118,Mohamed Diamé,31,29,24,2166,0,0,0,0,3,0,0,0,0,0,0,0.9,0.9,0,0.04,0,0.04,0.04,0.04,56,32,7,0.29,0,0.000,0.125,0.000,,
,,,119,Grady Diangana,20,17,6,609,0,1,0,0,0,0,0,0.15,0.15,0,0.15,0.7,0.7,1.2,0.1,0.17,0.27,0.1,0.27,25,13,2,0.30,0,0.000,0.000,0.000,,
,,,120,Eric Dier,24,20,18,1506,3,0,0,0,4,0,0.18,0,0.18,0.18,0.18,1.6,1.6,0.9,0.1,0.05,0.15,0.1,0.15,56,18,5,0.30,0,0.000,0.239,0.000,,
,,,121,Lucas Digne,25,35,33,2965,4,4,0,0,5,1,0.12,0.12,0.24,0.12,0.24,1.1,1.1,6.1,0.03,0.18,0.22,0.03,0.22,158,38,13,0.39,0,0.000,0.152,0.030,,
,,,122,Virgil van Dijk,27,38,38,3384,4,2,0,0,1,0,0.11,0.05,0.16,0.11,0.16,3.2,3.2,1.1,0.08,0.03,0.11,0.08,0.11,208,22,20,0.53,0,0.000,0.027,0.000,,
,,,123,Issa Diop,21,33,33,2970,1,0,0,0,4,0,0.03,0,0.03,0.03,0.03,1.1,1.1,0.1,0.03,0,0.04,0.03,0.04,87,43,7,0.21,0,0.000,0.121,0.000,,
,,,124,Matt Doherty,26,38,35,3144,4,5,0,0,5,0,0.11,0.14,0.26,0.11,0.26,5.5,5.5,4.8,0.16,0.14,0.29,0.16,0.29,144,41,8,0.23,0,0.000,0.143,0.000,,
